id	name	type	category	pp	power	accuracy	status	status chance
570	Parabolic Charge	Electric	Special	20	65	1		
571	Forest's Curse	Grass	Status	20	0	1		
572	Petal Blizzard	Grass	Physical	15	90	1		
573	Freeze-Dry	Ice	Special	20	70	1	0.1	Freeze
574	Disarming Voice	Fairy	Special	15	40	1		
575	Parting Shot	Dark	Status	20	0	1		
576	Topsy-Turvy	Dark	Status	20	0	1		
577	Draining Kiss	Fairy	Special	10	50	1		
578	Crafty Shield	Fairy	Status	10	0	1		
579	Flower Shield	Fairy	Status	10	0	1		
580	Grassy Terrain	Grass	Status	10	0	1		
581	Misty Terrain	Fairy	Status	10	0	1		
582	Electrify	Electric	Status	20	0	1		
583	Play Rough	Fairy	Physical	10	90	0.9		
584	Fairy Wind	Fairy	Special	30	40	1		
585	Moonblast	Fairy	Special	15	95	1		
586	Boomburst	Normal	Special	10	140	1		
587	Fairy Lock	Fairy	Status	10	0	1		
588	King's Shield	Steel	Status	10	0	1		
589	Play Nice	Normal	Status	20	0	1		
590	Confide	Normal	Status	20	0	1		
591	Diamond Storm	Rock	Physical	5	100	0.95		
592	Steam Eruption	Water	Special	5	110	0.95	0.3	Burn
593	Hyperspace Hole	Psychic	Special	5	80	1		
594	Water Shuriken	Water	Special	20	15	1		
595	Mystical Fire	Fire	Special	10	75	1		
596	Spiky Shield	Grass	Status	10	0	1		
597	Aromatic Mist	Fairy	Status	20	0	1		
598	Eerie Impulse	Electric	Status	15	0	1		
599	Venom Drench	Poison	Status	20	0	1		
600	Powder	Bug	Status	20	0	1		
601	Geomancy	Fairy	Status	10	0	1		
602	Magnetic Flux	Electric	Status	20	0	1		
603	Happy Hour	Normal	Status	30	0	1		
604	Electric Terrain	Electric	Status	10	0	1		
605	Dazzling Gleam	Fairy	Special	10	80	1		
606	Celebrate	Normal	Status	40	0	1		
607	Hold Hands	Normal	Status	40	0	1		
608	Baby-Doll Eyes	Fairy	Status	30	0	1		
609	Nuzzle	Electric	Physical	20	20	1	1	Paralysis
610	Hold Back	Normal	Physical	40	40	1		
611	Infestation	Bug	Special	20	20	1		
612	Power-Up Punch	Fighting	Physical	20	40	1		
613	Oblivion Wing	Flying	Special	10	80	1		
614	Thousand Arrows	Ground	Physical	10	90	1		
615	Thousand Waves	Ground	Physical	10	90	1		
616	Land's Wrath	Ground	Physical	10	90	1		
617	Light of Ruin	Fairy	Special	5	140	0.9		
618	Origin Pulse	Water	Special	10	110	0.85		
619	Precipice Blades	Ground	Physical	10	120	0.85		
620	Dragon Ascent	Flying	Physical	5	120	1		
621	Hyperspace Fury	Dark	Physical	5	100	1		
622	Breakneck Blitz	Normal	Physical	1	0	1		
623	Breakneck Blitz	Normal	Special	1	0	1		
624	All-Out Pummeling	Fighting	Physical	1	0	1		
625	All-Out Pummeling	Fighting	Special	1	0	1		
626	Supersonic Skystrike	Flying	Physical	1	0	1		
627	Supersonic Skystrike	Flying	Special	1	0	1		
628	Acid Downpour	Poison	Physical	1	0	1		
629	Acid Downpour	Poison	Special	1	0	1		
630	Tectonic Rage	Ground	Physical	1	0	1		
631	Tectonic Rage	Ground	Special	1	0	1		
632	Continental Crush	Rock	Physical	1	0	1		
633	Continental Crush	Rock	Special	1	0	1		
634	Savage Spin-Out	Bug	Physical	1	0	1		
635	Savage Spin-Out	Bug	Special	1	0	1		
636	Never-Ending Nightmare	Ghost	Physical	1	0	1		
637	Never-Ending Nightmare	Ghost	Special	1	0	1		
638	Corkscrew Crash	Steel	Physical	1	0	1		
639	Corkscrew Crash	Steel	Special	1	0	1		
640	Inferno Overdrive	Fire	Physical	1	0	1		
641	Inferno Overdrive	Fire	Special	1	0	1		
642	Hydro Vortex	Water	Physical	1	0	1		
643	Hydro Vortex	Water	Special	1	0	1		
644	Bloom Doom	Grass	Physical	1	0	1		
645	Bloom Doom	Grass	Special	1	0	1		
646	Gigavolt Havoc	Electric	Physical	1	0	1		
647	Gigavolt Havoc	Electric	Special	1	0	1		
648	Shattered Psyche	Psychic	Physical	1	0	1		
649	Shattered Psyche	Psychic	Special	1	0	1		
650	Subzero Slammer	Ice	Physical	1	0	1		
651	Subzero Slammer	Ice	Special	1	0	1		
652	Devastating Drake	Dragon	Physical	1	0	1		
653	Devastating Drake	Dragon	Special	1	0	1		
654	Black Hole Eclipse	Dark	Physical	1	0	1		
655	Black Hole Eclipse	Dark	Special	1	0	1		
656	Twinkle Tackle	Fairy	Physical	1	0	1		
657	Twinkle Tackle	Fairy	Special	1	0	1		
658	Catastropika	Electric	Physical	1	210	1		
659	Shore Up	Ground	Status	10	0	1		
660	First Impression	Bug	Physical	10	90	1		
661	Baneful Bunker	Poison	Status	10	0	1	1	Poison
662	Spirit Shackle	Ghost	Physical	10	80	1		
663	Darkest Lariat	Dark	Physical	10	85	1		
664	Sparkling Aria	Water	Special	10	90	1		
665	Ice Hammer	Ice	Physical	10	100	0.9		
666	Floral Healing	Fairy	Status	10	0	1		
667	High Horsepower	Ground	Physical	10	95	0.95		
668	Strength Sap	Grass	Status	10	0	1		
669	Solar Blade	Grass	Physical	10	125	1		
670	Leafage	Grass	Physical	40	40	1		
671	Spotlight	Normal	Status	15	0	1		
672	Toxic Thread	Poison	Status	20	0	1	1	Poison
673	Laser Focus	Normal	Status	30	0	1		
674	Gear Up	Steel	Status	20	0	1		
675	Throat Chop	Dark	Physical	15	80	1		
676	Pollen Puff	Bug	Special	15	90	1		
677	Anchor Shot	Steel	Physical	20	80	1		
678	Psychic Terrain	Psychic	Status	10	0	1		
679	Lunge	Bug	Physical	15	80	1		
680	Fire Lash	Fire	Physical	15	80	1		
681	Power Trip	Dark	Physical	10	20	1		
682	Burn Up	Fire	Special	5	130	1		
683	Speed Swap	Psychic	Status	10	0	1		
684	Smart Strike	Steel	Physical	10	70	1		
685	Purify	Poison	Status	20	0	1		
686	Revelation Dance	Normal	Special	15	90	1		
687	Core Enforcer	Dragon	Special	10	100	1		
688	Trop Kick	Grass	Physical	15	70	1		
689	Instruct	Psychic	Status	15	0	1		
690	Beak Blast	Flying	Physical	15	100	1		
691	Clanging Scales	Dragon	Special	5	110	1		
692	Dragon Hammer	Dragon	Physical	15	90	1		
693	Brutal Swing	Dark	Physical	20	60	1		
694	Aurora Veil	Ice	Status	20	0	1		
695	Sinister Arrow Raid	Ghost	Physical	1	180	1		
696	Malicious Moonsault	Dark	Physical	1	180	1		
697	Oceanic Operetta	Water	Special	1	195	1		
698	Guardian of Alola	Fairy	Special	1	0	1		
699	Soul-Stealing 7-Star Strike	Ghost	Physical	1	195	1		
700	Stoked Sparksurfer	Electric	Special	1	175	1		
701	Pulverizing Pancake	Normal	Physical	1	210	1		
702	Extreme Evoboost	Normal	Status	1	0	1		
703	Genesis Supernova	Psychic	Special	1	185	1		
704	Shell Trap	Fire	Special	5	150	1		
705	Fleur Cannon	Fairy	Special	5	130	0.9		
706	Psychic Fangs	Psychic	Physical	10	85	1		
707	Stomping Tantrum	Ground	Physical	10	75	1		
708	Shadow Bone	Ghost	Physical	10	85	1		
709	Accelerock	Rock	Physical	20	40	1		
710	Liquidation	Water	Physical	10	85	1		
711	Prismatic Laser	Psychic	Special	10	160	1		
712	Spectral Thief	Ghost	Physical	10	90	1		
713	Sunsteel Strike	Steel	Physical	5	100	1		
714	Moongeist Beam	Ghost	Special	5	100	1		
715	Tearful Look	Normal	Status	20	0	1		
716	Zing Zap	Electric	Physical	10	80	1		
717	Nature's Madness	Fairy	Special	10	0	0.9		
718	Multi-Attack	Normal	Physical	10	120	1		
719	10,000,000 Volt Thunderbolt	Electric	Special	1	195	1		
720	Mind Blown	Fire	Special	5	150	1		
721	Plasma Fists	Electric	Physical	15	100	1		
722	Photon Geyser	Psychic	Special	5	100	1		
723	Light That Burns the Sky	Psychic	Special	1	200	1		
724	Searing Sunraze Smash	Steel	Physical	1	200	1		
725	Menacing Moonraze Maelstrom	Ghost	Special	1	200	1		
726	Let's Snuggle Forever	Fairy	Physical	1	190	1		
727	Splintered Stormshards	Rock	Physical	1	190	1		
728	Clangorous Soulblaze	Dragon	Special	1	185	1		
729	Zippy Zap	Electric	Physical	10	80	1		
730	Splishy Splash	Water	Special	15	90	1		
731	Floaty Fall	Flying	Physical	15	90	0.95		
732	Pika Papow	Electric	Special	20	0	1		
733	Bouncy Bubble	Water	Special	20	60	1		
734	Buzzy Buzz	Electric	Special	20	60	1		
735	Sizzly Slide	Fire	Physical	20	60	1		
736	Glitzy Glow	Psychic	Special	15	80	0.95		
737	Baddy Bad	Dark	Special	15	80	0.95		
738	Sappy Seed	Grass	Physical	10	100	0.9		
739	Freezy Frost	Ice	Special	10	100	0.9		
740	Sparkly Swirl	Fairy	Special	5	120	0.85		
741	Veevee Volley	Normal	Physical	20	0	1		
742	Double Iron Bash	Steel	Physical	5	60	1		
743	Max Guard	Normal	Status	10	0	1		
744	Dynamax Cannon	Dragon	Special	5	100	1		
745	Snipe Shot	Water	Special	15	80	1		
746	Jaw Lock	Dark	Physical	10	80	1		
747	Stuff Cheeks	Normal	Status	10	0	1		
748	No Retreat	Fighting	Status	5	0	1		
749	Tar Shot	Rock	Status	15	0	1		
750	Magic Powder	Psychic	Status	20	0	1		
751	Dragon Darts	Dragon	Physical	10	50	1		
752	Teatime	Normal	Status	10	0	1		
753	Octolock	Fighting	Status	15	0	1		
754	Bolt Beak	Electric	Physical	10	85	1		
755	Fishious Rend	Water	Physical	10	85	1		
756	Court Change	Normal	Status	10	0	1		
757	Max Flare	Fire	???	10	0	1		
758	Max Flutterby	Bug	???	10	0	1		
759	Max Lightning	Electric	???	10	0	1		
760	Max Strike	Normal	???	10	0	1		
761	Max Knuckle	Fighting	???	10	0	1		
762	Max Phantasm	Ghost	???	10	0	1		
763	Max Hailstorm	Ice	???	10	0	1		
764	Max Ooze	Poison	???	10	0	1		
765	Max Geyser	Water	???	10	0	1		
766	Max Airstream	Flying	???	10	0	1		
767	Max Starfall	Fairy	???	10	0	1		
768	Max Wyrmwind	Dragon	???	10	0	1		
769	Max Mindstorm	Psychic	???	10	0	1		
770	Max Rockfall	Rock	???	10	0	1		
771	Max Quake	Ground	???	10	0	1		
772	Max Darkness	Dark	???	10	0	1		
773	Max Overgrowth	Grass	???	10	0	1		
774	Max Steelspike	Steel	???	10	0	1		
775	Clangorous Soul	Dragon	Status	5	0	1		
776	Body Press	Fighting	Physical	10	80	1		
777	Decorate	Fairy	Status	15	0	1		
778	Drum Beating	Grass	Physical	10	80	1		
779	Snap Trap	Grass	Physical	15	35	1		
780	Pyro Ball	Fire	Physical	5	120	0.9	0.1	Burn
781	Behemoth Blade	Steel	Physical	5	100	1		
782	Behemoth Bash	Steel	Physical	5	100	1		
783	Aura Wheel	Electric	Physical	10	110	1		
784	Breaking Swipe	Dragon	Physical	15	60	1		
785	Branch Poke	Grass	Physical	40	40	1		
786	Overdrive	Electric	Special	10	80	1		
787	Apple Acid	Grass	Special	10	80	1		
788	Grav Apple	Grass	Physical	10	80	1		
789	Spirit Break	Fairy	Physical	15	75	1		
790	Strange Steam	Fairy	Special	10	90	0.95	0.2	Confusion
791	Life Dew	Water	Status	10	0	1		
792	Obstruct	Dark	Status	10	0	1		
793	False Surrender	Dark	Physical	10	80	1		
794	Meteor Assault	Fighting	Physical	5	150	1		
795	Eternabeam	Dragon	Special	5	160	0.9		
796	Steel Beam	Steel	Special	5	140	0.95		
797	Expanding Force	Psychic	Special	10	80	1		
798	Steel Roller	Steel	Physical	5	130	1		
799	Scale Shot	Dragon	Physical	20	25	0.9		
800	Meteor Beam	Rock	Special	10	120	0.9		
801	Shell Side Arm	Poison	Special	10	90	1	0.3	Poison
802	Misty Explosion	Fairy	Special	5	100	1		
803	Grassy Glide	Grass	Physical	20	70	1		
804	Rising Voltage	Electric	Special	20	70	1		
805	Terrain Pulse	Normal	Special	10	50	1		
806	Skitter Smack	Bug	Physical	10	70	0.9		
807	Burning Jealousy	Fire	Special	5	70	1		
808	Lash Out	Dark	Physical	5	75	1		
809	Poltergeist	Ghost	Physical	5	110	0.9		
810	Corrosive Gas	Poison	Status	40	0	1		
811	Coaching	Fighting	Status	10	0	1		
812	Flip Turn	Water	Physical	20	60	1		
813	Triple Axel	Ice	Physical	10	20	0.9		
814	Dual Wingbeat	Flying	Physical	10	40	0.9		
815	Scorching Sands	Ground	Special	10	70	1	0.3	Burn
816	Jungle Healing	Grass	Status	10	0	1		
817	Wicked Blow	Dark	Physical	5	80	1		
818	Surging Strikes	Water	Physical	5	25	1		
819	Thunder Cage	Electric	Special	15	80	0.9		
820	Dragon Energy	Dragon	Special	5	150	1		
821	Freezing Glare	Psychic	Special	10	90	1	0.1	Freeze
822	Fiery Wrath	Dark	Special	10	90	1		
823	Thunderous Kick	Fighting	Physical	10	90	1		
824	Glacial Lance	Ice	Physical	5	130	1		
825	Astral Barrage	Ghost	Special	5	120	1		
826	Eerie Spell	Psychic	Special	5	80	1		
827	Dire Claw	Poison	Physical	15	60	100		
828	Psyshield Bash	Psychic	Physical	10	70	90		
829	Power Shift	Normal	Status	10	0	1		
830	Stone Axe	Rock	Physical	15	65	90		
831	Springtide Storm	Fairy	Special	5	95	80		
832	Mystical Power	Psychic	Special	10	70	90		
833	Raging Fury	Fire	Physical	10	90	85		
834	Wave Crash	Water	Physical	10	75	100		
835	Chloroblast	Grass	Special	5	120	95		
836	Mountain Gale	Ice	Physical	5	100	85		
837	Victory Dance	Fighting	Status	10	0	1		
838	Headlong Rush	Ground	Physical	5	100	100		
839	Barb Barrage	Poison	Physical	15	60	100		
840	Esper Wing	Psychic	Special	10	75	90		
841	Bitter Malice	Ghost	Special	15	60	100		
842	Shelter	Steel	Status	10	0	1		
843	Triple Arrows	Fighting	Physical	15	50	100		
844	Infernal Parade	Ghost	Special	15	60	100		
845	Ceaseless Edge	Dark	Physical	15	65	90		
846	Bleakwind Storm	Flying	Special	5	95	80		
847	Wildbolt Storm	Electric	Special	5	95	80		
848	Sandsear Storm	Ground	Special	5	95	80		
849	Lunar Blessing	Psychic	Status	10	0	1		
850	Take Heart	Psychic	Status	10	0	1		
