ID	Name	Type	Action	Stat	Description	Buy	Sell	Discoverable
384	TM265	Machine	265		Teaches the move Smelling Salts.	2100	420	1
385	TM266	Machine	266		Teaches the move Follow Me.	500	100	1
386	TM267	Machine	267		Teaches the move Nature Power.	500	100	1
387	TM268	Machine	268		Teaches the move Charge.	1000	200	1
388	TM269	Machine	269		Teaches the move Taunt.	500	100	1
389	TM270	Machine	270		Teaches the move Helping Hand.	500	100	1
390	TM271	Machine	271		Teaches the move Trick.	500	100	1
391	TM272	Machine	272		Teaches the move Role Play.	500	100	1
392	TM273	Machine	273		Teaches the move Wish.	500	100	1
393	TM274	Machine	274		Teaches the move Assist.	500	100	1
394	TM275	Machine	275		Teaches the move Ingrain.	500	100	1
395	TM276	Machine	276		Teaches the move Superpower.	3600	720	1
396	TM277	Machine	277		Teaches the move Magic Coat.	500	100	1
397	TM278	Machine	278		Teaches the move Recycle.	500	100	1
398	TM279	Machine	279		Teaches the move Revenge.	1800	360	1
399	TM280	Machine	280		Teaches the move Brick Break.	2250	450	1
400	TM281	Machine	281		Teaches the move Yawn.	500	100	1
401	TM282	Machine	282		Teaches the move Knock Off.	1950	390	1
402	TM283	Machine	283		Teaches the move Endeavor.	500	100	1
403	TM284	Machine	284		Teaches the move Eruption.	4500	900	1
404	TM285	Machine	285		Teaches the move Skill Swap.	500	100	1
405	TM286	Machine	286		Teaches the move Imprison.	500	100	1
406	TM287	Machine	287		Teaches the move Refresh.	500	100	1
407	TM288	Machine	288		Teaches the move Grudge.	500	100	1
408	TM289	Machine	289		Teaches the move Snatch.	500	100	1
409	TM290	Machine	290		Teaches the move Secret Power.	2100	420	1
410	HM291	Machine	291		Teaches the move Dive.	2400	480	0
411	TM292	Machine	292		Teaches the move Arm Thrust.	450	90	1
412	TM293	Machine	293		Teaches the move Camouflage.	500	100	1
413	TM294	Machine	294		Teaches the move Tail Glow.	500	100	1
414	TM295	Machine	295		Teaches the move Luster Purge.	2100	420	1
415	TM296	Machine	296		Teaches the move Mist Ball.	2100	420	1
416	TM297	Machine	297		Teaches the move Feather Dance.	500	100	1
417	TM298	Machine	298		Teaches the move Teeter Dance.	500	100	1
418	TM299	Machine	299		Teaches the move Blaze Kick.	2550	510	1
419	TM300	Machine	300		Teaches the move Mud Sport.	500	100	1
420	TM301	Machine	301		Teaches the move Ice Ball.	900	180	1
421	TM302	Machine	302		Teaches the move Needle Arm.	1800	360	1
422	TM303	Machine	303		Teaches the move Slack Off.	500	100	1
423	TM304	Machine	304		Teaches the move Hyper Voice.	2700	540	1
424	TM305	Machine	305		Teaches the move Poison Fang.	1500	300	1
425	TM306	Machine	306		Teaches the move Crush Claw.	2250	450	1
426	TM307	Machine	307		Teaches the move Blast Burn.	4500	900	1
427	TM308	Machine	308		Teaches the move Hydro Cannon.	4500	900	1
428	TM309	Machine	309		Teaches the move Meteor Mash.	2700	540	1
429	TM310	Machine	310		Teaches the move Astonish.	900	180	1
430	TM311	Machine	311		Teaches the move Weather Ball.	1500	300	1
431	TM312	Machine	312		Teaches the move Aromatherapy.	500	100	1
432	TM313	Machine	313		Teaches the move Fake Tears.	500	100	1
433	TM314	Machine	314		Teaches the move Air Cutter.	1800	360	1
434	TM315	Machine	315		Teaches the move Overheat.	3900	780	1
435	TM316	Machine	316		Teaches the move Odor Sleuth.	500	100	1
436	TM317	Machine	317		Teaches the move Rock Tomb.	1800	360	1
437	TM318	Machine	318		Teaches the move Silver Wind.	1800	360	1
438	TM319	Machine	319		Teaches the move Metal Sound.	500	100	1
439	TM320	Machine	320		Teaches the move Grass Whistle.	500	100	1
440	TM321	Machine	321		Teaches the move Tickle.	500	100	1
441	TM322	Machine	322		Teaches the move Cosmic Power.	500	100	1
442	TM323	Machine	323		Teaches the move Water Spout.	4500	900	1
443	TM324	Machine	324		Teaches the move Signal Beam.	2250	450	1
444	TM325	Machine	325		Teaches the move Shadow Punch.	1800	360	1
445	TM326	Machine	326		Teaches the move Extrasensory.	2400	480	1
446	TM327	Machine	327		Teaches the move Sky Uppercut.	2550	510	1
447	TM328	Machine	328		Teaches the move Sand Tomb.	1050	210	1
448	TM329	Machine	329		Teaches the move Sheer Cold.	500	100	1
449	TM330	Machine	330		Teaches the move Muddy Water.	2700	540	1
450	TM331	Machine	331		Teaches the move Bullet Seed.	750	150	1
451	TM332	Machine	332		Teaches the move Aerial Ace.	1800	360	1
452	TM333	Machine	333		Teaches the move Icicle Spear.	750	150	1
453	TM334	Machine	334		Teaches the move Iron Defense.	500	100	1
454	TM335	Machine	335		Teaches the move Block.	500	100	1
455	TM336	Machine	336		Teaches the move Howl.	500	100	1
456	TM337	Machine	337		Teaches the move Dragon Claw.	2400	480	1
457	TM338	Machine	338		Teaches the move Frenzy Plant.	4500	900	1
458	TM339	Machine	339		Teaches the move Bulk Up.	500	100	1
459	TM340	Machine	340		Teaches the move Bounce.	2550	510	1
460	TM341	Machine	341		Teaches the move Mud Shot.	1650	330	1
461	TM342	Machine	342		Teaches the move Poison Tail.	1500	300	1
462	TM343	Machine	343		Teaches the move Covet.	1800	360	1
463	TM344	Machine	344		Teaches the move Volt Tackle.	3600	720	1
464	TM345	Machine	345		Teaches the move Magical Leaf.	1800	360	1
465	TM346	Machine	346		Teaches the move Water Sport.	500	100	1
466	TM347	Machine	347		Teaches the move Calm Mind.	500	100	1
467	TM348	Machine	348		Teaches the move Leaf Blade.	2700	540	1
468	TM349	Machine	349		Teaches the move Dragon Dance.	500	100	1
469	TM350	Machine	350		Teaches the move Rock Blast.	750	150	1
470	TM351	Machine	351		Teaches the move Shock Wave.	1800	360	1
471	TM352	Machine	352		Teaches the move Water Pulse.	1800	360	1
472	TM353	Machine	353		Teaches the move Doom Desire.	4200	840	1
473	TM354	Machine	354		Teaches the move Psycho Boost.	4200	840	1
474	TM355	Machine	355		Teaches the move Roost.	500	100	1
475	TM356	Machine	356		Teaches the move Gravity.	500	100	1
476	TM357	Machine	357		Teaches the move Miracle Eye.	500	100	1
477	TM358	Machine	358		Teaches the move Wake-Up Slap.	2100	420	1
478	TM359	Machine	359		Teaches the move Hammer Arm.	3000	600	1
479	TM360	Machine	360		Teaches the move Gyro Ball.	500	100	1
480	TM361	Machine	361		Teaches the move Healing Wish.	500	100	1
481	TM362	Machine	362		Teaches the move Brine.	1950	390	1
482	TM363	Machine	363		Teaches the move Natural Gift.	500	100	1
483	TM364	Machine	364		Teaches the move Feint.	900	180	1
484	TM365	Machine	365		Teaches the move Pluck.	1800	360	1
485	TM366	Machine	366		Teaches the move Tailwind.	500	100	1
486	TM367	Machine	367		Teaches the move Acupressure.	500	100	1
487	TM368	Machine	368		Teaches the move Metal Burst.	500	100	1
488	TM369	Machine	369		Teaches the move U-turn.	2100	420	1
489	TM370	Machine	370		Teaches the move Close Combat.	3600	720	1
490	TM371	Machine	371		Teaches the move Payback.	1500	300	1
491	TM372	Machine	372		Teaches the move Assurance.	1800	360	1
492	TM373	Machine	373		Teaches the move Embargo.	500	100	1
493	TM374	Machine	374		Teaches the move Fling.	800	160	1
494	TM375	Machine	375		Teaches the move Psycho Shift.	800	160	1
495	TM376	Machine	376		Teaches the move Trump Card.	500	100	1
496	TM377	Machine	377		Teaches the move Heal Block.	500	100	1
497	TM378	Machine	378		Teaches the move Wring Out.	500	100	1
498	TM379	Machine	379		Teaches the move Power Trick.	500	100	1
499	TM380	Machine	380		Teaches the move Gastro Acid.	500	100	1
500	TM381	Machine	381		Teaches the move Lucky Chant.	500	100	1
501	TM382	Machine	382		Teaches the move Me First.	500	100	1
502	TM383	Machine	383		Teaches the move Copycat.	500	100	1
503	TM384	Machine	384		Teaches the move Power Swap.	500	100	1
504	TM385	Machine	385		Teaches the move Guard Swap.	500	100	1
505	TM386	Machine	386		Teaches the move Punishment.	500	100	1
506	TM387	Machine	387		Teaches the move Last Resort.	4200	840	1
507	TM388	Machine	388		Teaches the move Worry Seed.	500	100	1
508	TM389	Machine	389		Teaches the move Sucker Punch.	2100	420	1
509	TM390	Machine	390		Teaches the move Toxic Spikes.	500	100	1
510	TM391	Machine	391		Teaches the move Heart Swap.	500	100	1
511	TM392	Machine	392		Teaches the move Aqua Ring.	500	100	1
512	TM393	Machine	393		Teaches the move Magnet Rise.	500	100	1
513	TM394	Machine	394		Teaches the move Flare Blitz.	3600	720	1
514	TM395	Machine	395		Teaches the move Force Palm.	1800	360	1
515	TM396	Machine	396		Teaches the move Aura Sphere.	2400	480	1
516	TM397	Machine	397		Teaches the move Rock Polish.	500	100	1
517	TM398	Machine	398		Teaches the move Poison Jab.	2400	480	1
518	TM399	Machine	399		Teaches the move Dark Pulse.	2400	480	1
519	TM400	Machine	400		Teaches the move Night Slash.	2100	420	1
520	TM401	Machine	401		Teaches the move Aqua Tail.	2700	540	1
521	TM402	Machine	402		Teaches the move Seed Bomb.	2400	480	1
522	TM403	Machine	403		Teaches the move Air Slash.	2250	450	1
523	TM404	Machine	404		Teaches the move X-Scissor.	2400	480	1
524	TM405	Machine	405		Teaches the move Bug Buzz.	2700	540	1
525	TM406	Machine	406		Teaches the move Dragon Pulse.	2550	510	1
526	TM407	Machine	407		Teaches the move Dragon Rush.	3000	600	1
527	TM408	Machine	408		Teaches the move Power Gem.	2400	480	1
528	TM409	Machine	409		Teaches the move Drain Punch.	2250	450	1
529	TM410	Machine	410		Teaches the move Vacuum Wave.	1200	240	1
530	TM411	Machine	411		Teaches the move Focus Blast.	3600	720	1
531	TM412	Machine	412		Teaches the move Energy Ball.	2700	540	1
532	TM413	Machine	413		Teaches the move Brave Bird.	3600	720	1
533	TM414	Machine	414		Teaches the move Earth Power.	2700	540	1
534	TM415	Machine	415		Teaches the move Switcheroo.	500	100	1
535	TM416	Machine	416		Teaches the move Giga Impact.	4500	900	1
536	TM417	Machine	417		Teaches the move Nasty Plot.	500	100	1
537	TM418	Machine	418		Teaches the move Bullet Punch.	1200	240	1
538	TM419	Machine	419		Teaches the move Avalanche.	1800	360	1
539	TM420	Machine	420		Teaches the move Ice Shard.	1200	240	1
540	TM421	Machine	421		Teaches the move Shadow Claw.	2100	420	1
541	TM422	Machine	422		Teaches the move Thunder Fang.	1950	390	1
542	TM423	Machine	423		Teaches the move Ice Fang.	1950	390	1
543	TM424	Machine	424		Teaches the move Fire Fang.	1950	390	1
544	TM425	Machine	425		Teaches the move Shadow Sneak.	1200	240	1
545	TM426	Machine	426		Teaches the move Mud Bomb.	1950	390	1
546	TM427	Machine	427		Teaches the move Psycho Cut.	2100	420	1
547	TM428	Machine	428		Teaches the move Zen Headbutt.	2400	480	1
548	TM429	Machine	429		Teaches the move Mirror Shot.	1950	390	1
549	TM430	Machine	430		Teaches the move Flash Cannon.	2400	480	1
550	TM431	Machine	431		Teaches the move Rock Climb.	2700	540	1
551	TM432	Machine	432		Teaches the move Defog.	500	100	1
552	TM433	Machine	433		Teaches the move Trick Room.	500	100	1
553	TM434	Machine	434		Teaches the move Draco Meteor.	3900	780	1
554	TM435	Machine	435		Teaches the move Discharge.	2400	480	1
555	TM436	Machine	436		Teaches the move Lava Plume.	2400	480	1
556	TM437	Machine	437		Teaches the move Leaf Storm.	3900	780	1
557	TM438	Machine	438		Teaches the move Power Whip.	3600	720	1
558	TM439	Machine	439		Teaches the move Rock Wrecker.	4500	900	1
559	TM440	Machine	440		Teaches the move Cross Poison.	2100	420	1
560	TM441	Machine	441		Teaches the move Gunk Shot.	3600	720	1
561	TM442	Machine	442		Teaches the move Iron Head.	2400	480	1
562	TM443	Machine	443		Teaches the move Magnet Bomb.	1800	360	1
563	TM444	Machine	444		Teaches the move Stone Edge.	3000	600	1
564	TM445	Machine	445		Teaches the move Captivate.	500	100	1
565	TM446	Machine	446		Teaches the move Stealth Rock.	500	100	1
566	TM447	Machine	447		Teaches the move Grass Knot.	500	100	1
567	TM448	Machine	448		Teaches the move Chatter.	1950	390	1
568	TM449	Machine	449		Teaches the move Judgment.	3000	600	1
569	TM450	Machine	450		Teaches the move Bug Bite.	1800	360	1
570	TM451	Machine	451		Teaches the move Charge Beam.	1500	300	1
571	TM452	Machine	452		Teaches the move Wood Hammer.	3600	720	1
572	TM453	Machine	453		Teaches the move Aqua Jet.	1200	240	1
573	TM454	Machine	454		Teaches the move Attack Order.	2700	540	1
574	TM455	Machine	455		Teaches the move Defend Order.	500	100	1
575	TM456	Machine	456		Teaches the move Heal Order.	500	100	1
576	TM457	Machine	457		Teaches the move Head Smash.	4500	900	1
577	TM458	Machine	458		Teaches the move Double Hit.	1050	210	1
578	TM459	Machine	459		Teaches the move Roar of Time.	4500	900	1
579	TM460	Machine	460		Teaches the move Spacial Rend.	3000	600	1
580	TM461	Machine	461		Teaches the move Lunar Dance.	500	100	1
581	TM462	Machine	462		Teaches the move Crush Grip.	500	100	1
582	TM463	Machine	463		Teaches the move Magma Storm.	3000	600	1
583	TM464	Machine	464		Teaches the move Dark Void.	500	100	1
584	TM465	Machine	465		Teaches the move Seed Flare.	3600	720	1
585	TM466	Machine	466		Teaches the move Ominous Wind.	1800	360	1
586	TM467	Machine	467		Teaches the move Shadow Force.	3600	720	1
587	TM468	Machine	468		Teaches the move Hone Claws.	500	100	1
588	TM469	Machine	469		Teaches the move Wide Guard.	500	100	1
589	TM470	Machine	470		Teaches the move Guard Split.	500	100	1
590	TM471	Machine	471		Teaches the move Power Split.	500	100	1
591	TM472	Machine	472		Teaches the move Wonder Room.	500	100	1
592	TM473	Machine	473		Teaches the move Psyshock.	2400	480	1
593	TM474	Machine	474		Teaches the move Venoshock.	1950	390	1
594	TM475	Machine	475		Teaches the move Autotomize.	500	100	1
595	TM476	Machine	476		Teaches the move Rage Powder.	500	100	1
596	TM477	Machine	477		Teaches the move Telekinesis.	500	100	1
597	TM478	Machine	478		Teaches the move Magic Room.	500	100	1
598	TM479	Machine	479		Teaches the move Smack Down.	1500	300	1
599	TM480	Machine	480		Teaches the move Storm Throw.	1800	360	1
600	TM481	Machine	481		Teaches the move Flame Burst.	2100	420	1
601	TM482	Machine	482		Teaches the move Sludge Wave.	2850	570	1
602	TM483	Machine	483		Teaches the move Quiver Dance.	500	100	1
603	TM484	Machine	484		Teaches the move Heavy Slam.	500	100	1
604	TM485	Machine	485		Teaches the move Synchronoise.	3600	720	1
605	TM486	Machine	486		Teaches the move Electro Ball.	500	100	1
606	TM487	Machine	487		Teaches the move Soak.	500	100	1
607	TM488	Machine	488		Teaches the move Flame Charge.	1500	300	1
608	TM489	Machine	489		Teaches the move Coil.	500	100	1
609	TM490	Machine	490		Teaches the move Low Sweep.	1950	390	1
610	TM491	Machine	491		Teaches the move Acid Spray.	1200	240	1
611	TM492	Machine	492		Teaches the move Foul Play.	2850	570	1
612	TM493	Machine	493		Teaches the move Simple Beam.	500	100	1
613	TM494	Machine	494		Teaches the move Entrainment.	500	100	1
614	TM495	Machine	495		Teaches the move After You.	500	100	1
615	TM496	Machine	496		Teaches the move Round.	1800	360	1
616	TM497	Machine	497		Teaches the move Echoed Voice.	1200	240	1
617	TM498	Machine	498		Teaches the move Chip Away.	2100	420	1
618	TM499	Machine	499		Teaches the move Clear Smog.	1500	300	1
619	TM500	Machine	500		Teaches the move Stored Power.	600	120	1
620	TM501	Machine	501		Teaches the move Quick Guard.	500	100	1
621	TM502	Machine	502		Teaches the move Ally Switch.	500	100	1
622	TM503	Machine	503		Teaches the move Scald.	2400	480	1
623	TM504	Machine	504		Teaches the move Shell Smash.	500	100	1
624	TM505	Machine	505		Teaches the move Heal Pulse.	500	100	1
625	TM506	Machine	506		Teaches the move Hex.	1950	390	1
626	TM507	Machine	507		Teaches the move Sky Drop.	1800	360	1
627	TM508	Machine	508		Teaches the move Shift Gear.	500	100	1
628	TM509	Machine	509		Teaches the move Circle Throw.	1800	360	1
629	TM510	Machine	510		Teaches the move Incinerate.	1800	360	1
630	TM511	Machine	511		Teaches the move Quash.	500	100	1
631	TM512	Machine	512		Teaches the move Acrobatics.	1650	330	1
632	TM513	Machine	513		Teaches the move Reflect Type.	500	100	1
633	TM514	Machine	514		Teaches the move Retaliate.	2100	420	1
634	TM515	Machine	515		Teaches the move Final Gambit.	500	100	1
635	TM516	Machine	516		Teaches the move Bestow.	500	100	1
636	TM517	Machine	517		Teaches the move Inferno.	3000	600	1
637	TM518	Machine	518		Teaches the move Water Pledge.	2400	480	1
638	TM519	Machine	519		Teaches the move Fire Pledge.	2400	480	1
639	TM520	Machine	520		Teaches the move Grass Pledge.	2400	480	1
640	TM521	Machine	521		Teaches the move Volt Switch.	2100	420	1
641	TM522	Machine	522		Teaches the move Struggle Bug.	1500	300	1
642	TM523	Machine	523		Teaches the move Bulldoze.	1800	360	1
643	TM524	Machine	524		Teaches the move Frost Breath.	1800	360	1
644	TM525	Machine	525		Teaches the move Dragon Tail.	1800	360	1
645	TM526	Machine	526		Teaches the move Work Up.	500	100	1
646	TM527	Machine	527		Teaches the move Electroweb.	1650	330	1
647	TM528	Machine	528		Teaches the move Wild Charge.	2700	540	1
648	TM529	Machine	529		Teaches the move Drill Run.	2400	480	1
649	TM530	Machine	530		Teaches the move Dual Chop.	1200	240	1
650	TM531	Machine	531		Teaches the move Heart Stamp.	1800	360	1
651	TM532	Machine	532		Teaches the move Horn Leech.	2250	450	1
652	TM533	Machine	533		Teaches the move Sacred Sword.	2700	540	1
653	TM534	Machine	534		Teaches the move Razor Shell.	2250	450	1
654	TM535	Machine	535		Teaches the move Heat Crash.	500	100	1
655	TM536	Machine	536		Teaches the move Leaf Tornado.	1950	390	1
656	TM537	Machine	537		Teaches the move Steamroller.	1950	390	1
657	TM538	Machine	538		Teaches the move Cotton Guard.	500	100	1
658	TM539	Machine	539		Teaches the move Night Daze.	2550	510	1
659	TM540	Machine	540		Teaches the move Psystrike.	3000	600	1
660	TM541	Machine	541		Teaches the move Tail Slap.	750	150	1
661	TM542	Machine	542		Teaches the move Hurricane.	3300	660	1
662	TM543	Machine	543		Teaches the move Head Charge.	3600	720	1
663	TM544	Machine	544		Teaches the move Gear Grind.	1500	300	1
664	TM545	Machine	545		Teaches the move Searing Shot.	3000	600	1
665	TM546	Machine	546		Teaches the move Techno Blast.	3600	720	1
666	TM547	Machine	547		Teaches the move Relic Song.	2250	450	1
667	TM548	Machine	548		Teaches the move Secret Sword.	2550	510	1
668	TM549	Machine	549		Teaches the move Glaciate.	1950	390	1
669	TM550	Machine	550		Teaches the move Bolt Strike.	3900	780	1
670	TM551	Machine	551		Teaches the move Blue Flare.	3900	780	1
671	TM552	Machine	552		Teaches the move Fiery Dance.	2400	480	1
672	TM553	Machine	553		Teaches the move Freeze Shock.	4200	840	1
673	TM554	Machine	554		Teaches the move Ice Burn.	4200	840	1
674	TM555	Machine	555		Teaches the move Snarl.	1650	330	1
675	TM556	Machine	556		Teaches the move Icicle Crash.	2550	510	1
676	TM557	Machine	557		Teaches the move V-create.	5400	1080	1
677	TM558	Machine	558		Teaches the move Fusion Flare.	3000	600	1
678	TM559	Machine	559		Teaches the move Fusion Bolt.	3000	600	1
679	TM560	Machine	560		Teaches the move Flying Press.	3000	600	1
680	TM561	Machine	561		Teaches the move Mat Block.	500	100	1
681	TM562	Machine	562		Teaches the move Belch.	3600	720	1
682	TM563	Machine	563		Teaches the move Rototiller.	500	100	1
683	TM564	Machine	564		Teaches the move Sticky Web.	500	100	1
684	TM565	Machine	565		Teaches the move Fell Stinger.	1500	300	1
685	TM566	Machine	566		Teaches the move Phantom Force.	2700	540	1
686	TM567	Machine	567		Teaches the move Trick-or-Treat.	500	100	1
687	TM568	Machine	568		Teaches the move Noble Roar.	500	100	1
688	TM569	Machine	569		Teaches the move Ion Deluge.	500	100	1
689	TM570	Machine	570		Teaches the move Parabolic Charge.	1950	390	1
690	TM571	Machine	571		Teaches the move Forest's Curse.	500	100	1
691	TM572	Machine	572		Teaches the move Petal Blizzard.	2700	540	1
692	TM573	Machine	573		Teaches the move Freeze-Dry.	2100	420	1
693	TM574	Machine	574		Teaches the move Disarming Voice.	1200	240	1
694	TM575	Machine	575		Teaches the move Parting Shot.	500	100	1
695	TM576	Machine	576		Teaches the move Topsy-Turvy.	500	100	1
696	TM577	Machine	577		Teaches the move Draining Kiss.	1500	300	1
697	TM578	Machine	578		Teaches the move Crafty Shield.	500	100	1
698	TM579	Machine	579		Teaches the move Flower Shield.	500	100	1
699	TM580	Machine	580		Teaches the move Grassy Terrain.	500	100	1
700	TM581	Machine	581		Teaches the move Misty Terrain.	500	100	1
701	TM582	Machine	582		Teaches the move Electrify.	500	100	1
702	TM583	Machine	583		Teaches the move Play Rough.	2700	540	1
703	TM584	Machine	584		Teaches the move Fairy Wind.	1200	240	1
704	TM585	Machine	585		Teaches the move Moonblast.	2850	570	1
705	TM586	Machine	586		Teaches the move Boomburst.	4200	840	1
706	TM587	Machine	587		Teaches the move Fairy Lock.	500	100	1
707	TM588	Machine	588		Teaches the move King's Shield.	500	100	1
708	TM589	Machine	589		Teaches the move Play Nice.	500	100	1
709	TM590	Machine	590		Teaches the move Confide.	500	100	1
710	TM591	Machine	591		Teaches the move Diamond Storm.	3000	600	1
711	TM592	Machine	592		Teaches the move Steam Eruption.	3300	660	1
712	TM593	Machine	593		Teaches the move Hyperspace Hole.	2400	480	1
713	TM594	Machine	594		Teaches the move Water Shuriken.	450	90	1
714	TM595	Machine	595		Teaches the move Mystical Fire.	2250	450	1
715	TM596	Machine	596		Teaches the move Spiky Shield.	500	100	1
716	TM597	Machine	597		Teaches the move Aromatic Mist.	500	100	1
717	TM598	Machine	598		Teaches the move Eerie Impulse.	500	100	1
718	TM599	Machine	599		Teaches the move Venom Drench.	500	100	1
719	TM600	Machine	600		Teaches the move Powder.	500	100	1
720	TM601	Machine	601		Teaches the move Geomancy.	500	100	1
721	TM602	Machine	602		Teaches the move Magnetic Flux.	500	100	1
722	TM603	Machine	603		Teaches the move Happy Hour.	500	100	1
723	TM604	Machine	604		Teaches the move Electric Terrain.	500	100	1
724	TM605	Machine	605		Teaches the move Dazzling Gleam.	2400	480	1
725	TM606	Machine	606		Teaches the move Celebrate.	500	100	1
726	TM607	Machine	607		Teaches the move Hold Hands.	500	100	1
727	TM608	Machine	608		Teaches the move Baby-Doll Eyes.	500	100	1
728	TM609	Machine	609		Teaches the move Nuzzle.	600	120	1
729	TM610	Machine	610		Teaches the move Hold Back.	1200	240	1
730	TM611	Machine	611		Teaches the move Infestation.	600	120	1
731	TM612	Machine	612		Teaches the move Power-Up Punch.	1200	240	1
732	TM613	Machine	613		Teaches the move Oblivion Wing.	2400	480	1
733	TM614	Machine	614		Teaches the move Thousand Arrows.	2700	540	1
734	TM615	Machine	615		Teaches the move Thousand Waves.	2700	540	1
735	TM616	Machine	616		Teaches the move Land's Wrath.	2700	540	1
736	TM617	Machine	617		Teaches the move Light of Ruin.	4200	840	1
737	TM618	Machine	618		Teaches the move Origin Pulse.	3300	660	1
738	TM619	Machine	619		Teaches the move Precipice Blades.	3600	720	1
739	TM620	Machine	620		Teaches the move Dragon Ascent.	3600	720	1
740	TM621	Machine	621		Teaches the move Hyperspace Fury.	3000	600	1
741	TM622	Machine	622		Teaches the move Breakneck Blitz.	500	100	1
742	TM623	Machine	623		Teaches the move Breakneck Blitz.	500	100	1
743	TM624	Machine	624		Teaches the move All-Out Pummeling.	500	100	1
744	TM625	Machine	625		Teaches the move All-Out Pummeling.	500	100	1
745	TM626	Machine	626		Teaches the move Supersonic Skystrike.	500	100	1
746	TM627	Machine	627		Teaches the move Supersonic Skystrike.	500	100	1
747	TM628	Machine	628		Teaches the move Acid Downpour.	500	100	1
748	TM629	Machine	629		Teaches the move Acid Downpour.	500	100	1
749	TM630	Machine	630		Teaches the move Tectonic Rage.	500	100	1
750	TM631	Machine	631		Teaches the move Tectonic Rage.	500	100	1
751	TM632	Machine	632		Teaches the move Continental Crush.	500	100	1
752	TM633	Machine	633		Teaches the move Continental Crush.	500	100	1
753	TM634	Machine	634		Teaches the move Savage Spin-Out.	500	100	1
754	TM635	Machine	635		Teaches the move Savage Spin-Out.	500	100	1
755	TM636	Machine	636		Teaches the move Never-Ending Nightmare.	500	100	1
756	TM637	Machine	637		Teaches the move Never-Ending Nightmare.	500	100	1
757	TM638	Machine	638		Teaches the move Corkscrew Crash.	500	100	1
758	TM639	Machine	639		Teaches the move Corkscrew Crash.	500	100	1
759	TM640	Machine	640		Teaches the move Inferno Overdrive.	500	100	1
760	TM641	Machine	641		Teaches the move Inferno Overdrive.	500	100	1
761	TM642	Machine	642		Teaches the move Hydro Vortex.	500	100	1
762	TM643	Machine	643		Teaches the move Hydro Vortex.	500	100	1
763	TM644	Machine	644		Teaches the move Bloom Doom.	500	100	1
764	TM645	Machine	645		Teaches the move Bloom Doom.	500	100	1
765	TM646	Machine	646		Teaches the move Gigavolt Havoc.	500	100	1
766	TM647	Machine	647		Teaches the move Gigavolt Havoc.	500	100	1
767	TM648	Machine	648		Teaches the move Shattered Psyche.	500	100	1
768	TM649	Machine	649		Teaches the move Shattered Psyche.	500	100	1
769	TM650	Machine	650		Teaches the move Subzero Slammer.	500	100	1
770	TM651	Machine	651		Teaches the move Subzero Slammer.	500	100	1
771	TM652	Machine	652		Teaches the move Devastating Drake.	500	100	1
772	TM653	Machine	653		Teaches the move Devastating Drake.	500	100	1
773	TM654	Machine	654		Teaches the move Black Hole Eclipse.	500	100	1
774	TM655	Machine	655		Teaches the move Black Hole Eclipse.	500	100	1
775	TM656	Machine	656		Teaches the move Twinkle Tackle.	500	100	1
776	TM657	Machine	657		Teaches the move Twinkle Tackle.	500	100	1
777	TM658	Machine	658		Teaches the move Catastropika.	6300	1260	1
778	TM659	Machine	659		Teaches the move Shore Up.	500	100	1
779	TM660	Machine	660		Teaches the move First Impression.	2700	540	1
780	TM661	Machine	661		Teaches the move Baneful Bunker.	500	100	1
781	TM662	Machine	662		Teaches the move Spirit Shackle.	2400	480	1
782	TM663	Machine	663		Teaches the move Darkest Lariat.	2550	510	1
783	TM664	Machine	664		Teaches the move Sparkling Aria.	2700	540	1
784	TM665	Machine	665		Teaches the move Ice Hammer.	3000	600	1
785	TM666	Machine	666		Teaches the move Floral Healing.	500	100	1
786	TM667	Machine	667		Teaches the move High Horsepower.	2850	570	1
787	TM668	Machine	668		Teaches the move Strength Sap.	500	100	1
788	TM669	Machine	669		Teaches the move Solar Blade.	3750	750	1
789	TM670	Machine	670		Teaches the move Leafage.	1200	240	1
790	TM671	Machine	671		Teaches the move Spotlight.	500	100	1
791	TM672	Machine	672		Teaches the move Toxic Thread.	500	100	1
792	TM673	Machine	673		Teaches the move Laser Focus.	500	100	1
793	TM674	Machine	674		Teaches the move Gear Up.	500	100	1
794	TM675	Machine	675		Teaches the move Throat Chop.	2400	480	1
795	TM676	Machine	676		Teaches the move Pollen Puff.	2700	540	1
796	TM677	Machine	677		Teaches the move Anchor Shot.	2400	480	1
797	TM678	Machine	678		Teaches the move Psychic Terrain.	500	100	1
798	TM679	Machine	679		Teaches the move Lunge.	2400	480	1
799	TM680	Machine	680		Teaches the move Fire Lash.	2400	480	1
800	TM681	Machine	681		Teaches the move Power Trip.	600	120	1
801	TM682	Machine	682		Teaches the move Burn Up.	3900	780	1
802	TM683	Machine	683		Teaches the move Speed Swap.	500	100	1
803	TM684	Machine	684		Teaches the move Smart Strike.	2100	420	1
804	TM685	Machine	685		Teaches the move Purify.	500	100	1
805	TM686	Machine	686		Teaches the move Revelation Dance.	2700	540	1
806	TM687	Machine	687		Teaches the move Core Enforcer.	3000	600	1
807	TM688	Machine	688		Teaches the move Trop Kick.	2100	420	1
808	TM689	Machine	689		Teaches the move Instruct.	500	100	1
809	TM690	Machine	690		Teaches the move Beak Blast.	3000	600	1
810	TM691	Machine	691		Teaches the move Clanging Scales.	3300	660	1
