ID	Name	Type	Category	PP	Power	Accuracy	Status Chance	Status	Times	Weather	P Critical Hits	P HP	P Attack	O Attack	P Defense	O Defense	P Sp Attack	O Sp Attack	P Sp Defense	O Sp Defense	P Speed	O Speed	Flinch	Description
177	Aeroblast	Flying	Special	5	100	0.95			1		1		0	0	0	0	0	0	0	0	0	0	0	A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
178	Cotton Spore	Grass	Status	40	0	1			1		0		0	0	0	0	0	0		0	0	-2	0	The user releases cotton-like spores that cling to the opposing Pokémon, which harshly lowers their Speed stats.
179	Reversal	Fighting	Physical	15	0	1			1		0		0	0	0	0	0	0		0	0	0	0	An all-out attack that becomes more powerful the less HP the user has.
180	Spite	Ghost	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.
181	Powder Snow	Ice	Special	25	40	1	0.1	Freeze	1		0		0	0	0	0	0	0		0	0	0	0	The user attacks with a chilling gust of powdery snow. This may also freeze the opposing Pokémon.
182	Protect	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.
183	Mach Punch	Fighting	Physical	30	40	1			1		0		0	0	0	0	0	0		0	0	0	0	The user throws a punch at blinding speed. This move always goes first.
184	Scary Face	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	-2	0	The user frightens the target with a scary face to harshly lower its Speed stat.
185	Feint Attack	Dark	Physical	20	60	1			1		0		0	0	0	0	0	0		0	0	0	0	The user approaches the target disarmingly, then throws a sucker punch. This attack never misses.
186	Sweet Kiss	Fairy	Status	10	0	0.75	1	Confusion	1		0		0	0	0	0	0	0		0	0	0	0	The user kisses the target with a sweet, angelic cuteness that causes confusion.
187	Belly Drum	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user maximizes its Attack stat in exchange for HP equal to half its max HP.
188	Sludge Bomb	Poison	Special	10	90	1	0.3	Poison	1		0		0	0	0	0	0	0		0	0	0	0	Unsanitary sludge is hurled at the target. This may also poison the target.
189	Mud-Slap	Ground	Special	10	20	1			1		0		0	0	0	0	0	0		0	0	0	0	The user hurls mud in the target's face to inflict damage and lower its accuracy.
190	Octazooka	Water	Special	10	65	0.85			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks by spraying ink at the target's face or eyes. This may also lower the target's accuracy.
191	Spikes	Ground	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user lays a trap of spikes at the opposing team's feet. The trap hurts Pokémon that switch into battle.
192	Zap Cannon	Electric	Special	5	120	0.5	1	Paralysis	1		0		0	0	0	0	0	0		0	0	0	0	The user fires an electric blast like a cannon to inflict damage and cause paralysis.
193	Foresight	Normal	Status	40	0	1			1		0		0	0	0	0	0	0		0	0	0	0	Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.
194	Destiny Bond	Ghost	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	When this move is used, if the user faints, the Pokémon that landed the knockout hit also faints.
195	Perish Song	Normal	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	Any Pokémon that hears this song faints in three turns, unless it switches out of battle.
196	Icy Wind	Ice	Special	15	55	0.95			1		0		0	0	0	0	0	0		0	0	-1	0	The user attacks with a gust of chilled air. This also lowers the opposing Pokémon's Speed stats.
197	Detect	Fighting	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.
198	Bone Rush	Ground	Physical	10	25	0.9			2,5		0		0	0	0	0	0	0		0	0	0	0	The user strikes the target with a hard bone two to five times in a row.
199	Lock-On	Normal	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user takes sure aim at the target. This ensures the next attack does not miss the target.
200	Outrage	Dragon	Physical	10	120	1			1		0		0	0	0	0	0	0		0	0	0	0	The user rampages and attacks for two to three turns. It then becomes confused, however.
201	Sandstorm	Rock	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types.
202	Giga Drain	Grass	Special	10	75	1			1		0		0	0	0	0	0	0		0	0	0	0	A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
203	Endure	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.
204	Charm	Fairy	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user gazes at the target rather charmingly, making it less wary. This harshly lowers its Attack stat.
205	Rollout	Rock	Physical	20	30	0.9			1		0		0	0	0	0	0	0		0	0	0	0	The user continually rolls into the target over five turns. It becomes more powerful each time it hits.
206	False Swipe	Normal	Physical	40	40	1			1		0		0	0	0	0	0	0		0	0	0	0	A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
207	Swagger	Normal	Status	15	0	0.85	1	Confusion	1		0		0	0	0	0	0	0		0	0	0	0	The user enrages and confuses the target. However, this also sharply raises the target's Attack stat.
208	Milk Drink	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user restores its own HP by up to half of its max HP. May also be used in the field to heal HP.
209	Spark	Electric	Physical	20	65	1	0.3	Paralysis	1		0		0	0	0	0	0	0		0	0	0	0	The user throws an electrically charged tackle at the target. This may also leave the target with paralysis.
210	Fury Cutter	Bug	Physical	20	40	0.95			1		0		0	0	0	0	0	0		0	0	0	0	The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.
211	Steel Wing	Steel	Physical	25	70	0.9			1		0		0	0	1	0	0	0		0	0	0	0	The target is hit with wings of steel. This may also raise the user's Defense stat.
212	Mean Look	Normal	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user pins the target with a dark, arresting look. The target becomes unable to flee.
213	Attract	Normal	Status	15	0	1	1	Confusion	1		0		0	0	0	0	0	0		0	0	0	0	If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.
214	Sleep Talk	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	While it is asleep, the user randomly uses one of the moves it knows.
215	Heal Bell	Normal	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user makes a soothing bell chime to heal the status conditions of all the party Pokémon.
216	Return	Normal	Physical	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	A full-power attack that grows more powerful the more the user likes its Trainer.
217	Present	Normal	Physical	15	0	0.9			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however.
218	Frustration	Normal	Physical	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	A full-power attack that grows more powerful the less the user likes its Trainer.
219	Safeguard	Normal	Status	25	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user creates a protective field that prevents status conditions for five turns.
220	Pain Split	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user adds its HP to the target's HP, then equally shares the combined HP with the target.
221	Sacred Fire	Fire	Physical	5	100	0.95	0.5	Burn	1		0		0	0	0	0	0	0		0	0	0	0	The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.
222	Magnitude	Ground	Physical	30	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks everything around it with a ground-shaking quake. Its power varies.
223	Dynamic Punch	Fighting	Physical	5	100	0.5	1	Confusion	1		0		0	0	0	0	0	0		0	0	0	0	The user punches the target with full, concentrated power. This confuses the target if it hits.
224	Megahorn	Bug	Physical	10	120	0.85			1		0		0	0	0	0	0	0		0	0	0	0	Using its tough and impressive horn, the user rams into the target with no letup.
225	Dragon Breath	Dragon	Special	20	60	1	0.3	Paralysis	1		0		0	0	0	0	0	0		0	0	0	0	The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.
226	Baton Pass	Normal	Status	40	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user switches places with a party Pokémon in waiting and passes along any stat changes.
227	Encore	Normal	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user compels the target to keep using only the move it last used for three turns.
228	Pursuit	Dark	Physical	20	40	1			1		0		0	0	0	0	0	0		0	0	0	0	An attack move that inflicts double damage if used on a target that is switching out of battle.
229	Rapid Spin	Normal	Physical	40	50	1			1		0		0	0	0	0	0	0		0	0	0	0	A spin attack that can also eliminate such moves as Bind, Wrap, Leech Seed, and Spikes.
230	Sweet Scent	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	A sweet scent that harshly lowers opposing Pokémon's evasiveness. This also lures wild Pokémon if used in places such as tall grass.
231	Iron Tail	Steel	Physical	15	100	0.75			1		0		0	0	0	-1	0	0		0	0	0	0	The target is slammed with a steel-hard tail. This may also lower the target's Defense stat.
232	Metal Claw	Steel	Physical	35	50	0.95			1		0		1	0	0	0	0	0		0	0	0	0	The target is raked with steel claws. This may also raise the user's Attack stat.
233	Vital Throw	Fighting	Physical	10	70	1			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks last. In return, this throw move never misses.
234	Morning Sun	Normal	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user restores its own HP. The amount of HP regained varies with the weather.
235	Synthesis	Grass	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user restores its own HP. The amount of HP regained varies with the weather.
236	Moonlight	Fairy	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user restores its own HP. The amount of HP regained varies with the weather.
237	Hidden Power	Normal	Special	15	60	1			1		0		0	0	0	0	0	0		0	0	0	0	A unique attack that varies in type depending on the Pokémon using it.
238	Cross Chop	Fighting	Physical	5	100	0.8			1		1		0	0	0	0	0	0	0	0	0	0	0	The user delivers a double chop with its forearms crossed. Critical hits land more easily.
239	Twister	Dragon	Special	20	40	1			1		0		0	0	0	0	0	0		0	0	0	1	The user whips up a vicious tornado to tear at the opposing Pokémon. This may also make them flinch.
240	Rain Dance	Water	Status	5	0	1			1	Water	0		0	0	0	0	0	0		0	0	0	0	The user summons a heavy rain that falls for five turns, powering up Water-type moves.
241	Sunny Day	Fire	Status	5	0	1			1	Fire	0		0	0	0	0	0	0		0	0	0	0	The user intensifies the sun for five turns, powering up Fire-type moves.
242	Crunch	Dark	Physical	15	80	1			1		0		0	0	0	-1	0	0		0	0	0	0	The user crunches up the target with sharp fangs. This may also lower the target's Defense stat.
243	Mirror Coat	Psychic	Special	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	A retaliation move that counters any special attack, inflicting double the damage taken.
244	Psych Up	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user hypnotizes itself into copying any stat change made by the target.
245	Extreme Speed	Normal	Physical	5	80	1			1		0		0	0	0	0	0	0		0	0	0	0	The user charges the target at blinding speed. This move always goes first.
246	Ancient Power	Rock	Special	5	60	1			1		0		1	0	0	0	0	0		0	0	0	0	The user attacks with a prehistoric power. This may also raise all the user's stats at once.
247	Shadow Ball	Ghost	Special	15	80	1			1		0		0	0	0	0	0	0		-1	0	0	0	The user hurls a shadowy blob at the target. This may also lower the target's Sp. Def stat.
248	Future Sight	Psychic	Special	10	120	1			1		0		0	0	0	0	0	0		0	0	0	0	Two turns after this move is used, a hunk of psychic energy attacks the target.
249	Rock Smash	Fighting	Physical	15	40	1			1		0		0	0	0	-1	0	0		0	0	0	0	The user attacks with a punch. This may also lower the target's Defense stat. This move can also shatter rocks in the field.
250	Whirlpool	Water	Special	15	35	0.85			1		0		0	0	0	0	0	0		0	0	0	0	The user traps the target in a violent swirling whirlpool for four to five turns.
251	Beat Up	Dark	Physical	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.
252	Fake Out	Normal	Physical	10	40	1			1		0		0	0	0	0	0	0		0	0	0	1	An attack that hits first and makes the target flinch. It only works the first turn the user is in battle.
253	Uproar	Normal	Special	10	90	1			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks in an uproar for three turns. During that time, no one can fall asleep.
254	Stockpile	Normal	Status	20	0	1			1		0		0	0	1	0	0	0	1	0	0	0	0	The user charges up power and raises both its Defense and Sp. Def. stats.
255	Spit Up	Normal	Special	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the move's power.
256	Swallow	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The power stored using the move Stockpile is absorbed by the user to heal its HP. Storing more power heals more HP.
257	Heat Wave	Fire	Special	10	95	0.9	0.1	Burn	1		0		0	0	0	0	0	0		0	0	0	0	The user attacks by exhaling hot breath on the opposing Pokémon. This may also leave those Pokémon with a burn.
258	Hail	Ice	Status	10	0	1			1	Hail	0		0	0	0	0	0	0		0	0	0	0	The user summons a hailstorm.
259	Torment	Dark	Status	15	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user torments and enrages the target, making it incapable of using the same move twice in a row.
260	Flatter	Dark	Status	15	0	1	1	Confusion	1		0		0	0	0	0	0	1		0	0	0	0	Flattery is used to confuse the target. However, this also raises the target's Sp. Atk stat.
261	Will-O-Wisp	Fire	Status	15	0	0.85	1	Burn	1		0		0	0	0	0	0	0		0	0	0	0	The user shoots a sinister, bluish-white flame at the target to inflict a burn.
262	Memento	Dark	Status	10	0	1			1		0		0	0	0	0	1	0	1	0	0	0	0	The user raises its Sp. Attack and Sp. Defense.
263	Facade	Normal	Physical	20	70	1			1		0		0	0	0	0	0	0		0	0	0	0	An attack move that doubles its power if the user is poisoned, is burned, or has paralysis.
264	Focus Punch	Fighting	Physical	20	150	1			1		0		0	0	0	0	0	0		0	0	0	0	The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.
265	Smelling Salts	Normal	Physical	10	70	1			1		0		0	0	0	0	0	0		0	0	0	0	This attack inflicts double damage on a target with paralysis. This also cures the target's paralysis, however.
266	Follow Me	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user draws attention to itself, making all targets take aim only at the user.
267	Nature Power	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	An attack that makes use of nature's power. Its effects vary depending on the user's environment.
268	Charge	Electric	Status	20	0	1			1		0		0	0	0	0	0	0	1	0	0	0	0	The user boosts the power of the Electric move it uses on the next turn. This also raises the user's Sp. Def stat.
269	Taunt	Dark	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The target is taunted into a rage that allows it to use only attack moves for three turns.
270	Helping Hand	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user assists an ally by boosting the power of that ally's attack.
271	Trick	Psychic	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user catches the target off guard and swaps its held item with its own.
272	Role Play	Psychic	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user mimics the target completely, copying the target's natural Ability.
273	Wish	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	One turn after this move is used, the target's HP is restored by half the user's max HP.
274	Assist	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user hurriedly and randomly uses a move among those known by other Pokémon in the party.
275	Ingrain	Grass	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user lays roots that restore its HP on every turn. Because it is rooted, it can't switch out.
276	Superpower	Fighting	Physical	5	120	1			1		0		-1	0	-1	0	0	0		0	0	0	0	The user attacks the target with great power. However, this also lowers the user's Attack and Defense stats.
277	Magic Coat	Psychic	Status	15	0	1			1		0		0	0	0	0	0	0		0	0	0	0	A barrier reflects back to the target moves like Leech Seed and moves that damage status.
278	Recycle	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user recycles a held item that has been used in battle so it can be used again.
279	Revenge	Fighting	Physical	10	60	1			1		0		0	0	0	0	0	0		0	0	0	0	An attack move that inflicts double the damage if the user has been hurt by the opponent in the same turn.
280	Brick Break	Fighting	Physical	15	75	1			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect.
281	Yawn	Normal	Status	10	0	1	1	Sleep	1		0		0	0	0	0	0	0		0	0	0	0	The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.
282	Knock Off	Dark	Physical	20	65	1			1		0		0	0	0	0	0	0		0	0	0	0	The user slaps down the target's held item, and that item can't be used in that battle. The move does more damage if the target has a held item.
283	Endeavor	Normal	Physical	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	An attack move that cuts down the target's HP to equal the user's HP.
284	Eruption	Fire	Special	5	150	1			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks opposing Pokémon with explosive fury. The lower the user's HP, the lower the move's power.
285	Skill Swap	Psychic	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user employs its psychic power to exchange Abilities with the target.
286	Imprison	Psychic	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	If opposing Pokémon know any move also known by the user, they are prevented from using it.
287	Refresh	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user rests to cure itself of a poisoning, burn, or paralysis.
288	Grudge	Ghost	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	If the user faints, the user's grudge fully depletes the PP of the opponent's move that knocked it out.
289	Snatch	Dark	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user steals the effects of any attempts to use a healing or stat-changing move.
290	Secret Power	Normal	Physical	20	70	1			1		0		0	0	0	0	0	0		0	0	0	0	An attack whose additional effects depend on where it was used. Can also be used to make a Secret Base.
291	Dive	Water	Physical	10	80	1			1		0		0	0	0	0	0	0		0	0	0	0	Diving on the first turn, the user floats up and attacks on the next turn. It can be used to dive deep in the ocean.
292	Arm Thrust	Fighting	Physical	20	15	1			2,5		0		0	0	0	0	0	0		0	0	0	0	The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.
293	Camouflage	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user's type is changed depending on its environment, such as at water's edge, in grass, or in a cave.
294	Tail Glow	Bug	Status	20	0	1			1		0		0	0	0	0	3	0		0	0	0	0	The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat.
295	Luster Purge	Psychic	Special	5	70	1			1		0		0	0	0	0	0	0		-1	0	0	0	The user lets loose a damaging burst of light. This may also lower the target's Sp. Def stat.
296	Mist Ball	Psychic	Special	5	70	1			1		0		0	0	0	0	0	-1		0	0	0	0	A mist-like flurry of down envelops and damages the target. This may also lower the target's Sp. Atk stat.
297	Feather Dance	Flying	Status	15	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user covers the target's body with a mass of down that harshly lowers its Attack stat.
298	Teeter Dance	Normal	Status	20	0	1	1	Confusion	1		0		0	0	0	0	0	0	0	0	0	0	0	The user performs a wobbly dance that confuses the Pokémon around it.
299	Blaze Kick	Fire	Physical	10	85	0.9	0.1	Burn	1		1		0	0	0	0	0	0	0	0	0	0	0	The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.
300	Mud Sport	Ground	Status	15	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user covers itself with mud. This weakens Electric-type moves for five turns.
301	Ice Ball	Ice	Physical	20	30	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	The user continually rolls into the target over five turns. It becomes stronger each time it hits.
302	Needle Arm	Grass	Physical	15	60	1			1		0		0	0	0	0	0	0	0	0	0	0	1	The user attacks by wildly swinging its thorny arms. This may also make the target flinch.
303	Slack Off	Normal	Status	10	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user slacks off, restoring its own HP by up to half of its max HP.
304	Hyper Voice	Normal	Special	10	90	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user lets loose a horribly echoing shout with the power to inflict damage.
305	Poison Fang	Poison	Physical	15	50	1	0.3	Poison	1		0		0	0	0	0	0	0	0	0	0	0	0	The user bites the target with toxic fangs. This may also leave the target badly poisoned.
306	Crush Claw	Normal	Physical	10	75	0.95			1		0		0	0	0	-1	0	0	0	0	0	0	0	The user slashes the target with hard and sharp claws. This may also lower the target's Defense.
307	Blast Burn	Fire	Special	5	150	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is razed by a fiery explosion. The user can't move on the next turn.
308	Hydro Cannon	Water	Special	5	150	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is hit by a watery blast. The user can't move on the next turn.
309	Meteor Mash	Steel	Physical	10	90	0.9			1		0		1	0	0	0	0	0	0	0	0	0	0	The target is hit with a hard punch fired like a meteor. This may also raise the user's Attack stat.
310	Astonish	Ghost	Physical	15	30	1			1		0		0	0	0	0	0	0	0	0	0	0	1	The user attacks the target while shouting in a startling fashion. This may also make the target flinch.
311	Weather Ball	Normal	Special	10	50	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user throws a ball of rain at the opponent.
312	Aromatherapy	Grass	Status	5	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user releases a soothing scent that heals all status conditions affecting the user's party.
313	Fake Tears	Dark	Status	20	0	1			1		0		0	0	0	0	0	0	0	-2	0	0	0	The user feigns crying to fluster the target, harshly lowering its Sp. Def stat.
314	Air Cutter	Flying	Special	25	60	0.95			1		1		0	0	0	0	0	0	0	0	0	0	0	The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.
315	Overheat	Fire	Special	5	130	0.9			1		0		0	0	0	0	-2	0	0	0	0	0	0	The user attacks the target at full power. The attack's recoil harshly lowers the user's Sp. Atk stat.
316	Odor Sleuth	Normal	Status	40	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	Enables a Ghost-type target to be hit with Normal- and Fighting-type attacks. This also enables an evasive target to be hit.
317	Rock Tomb	Rock	Physical	15	60	0.95			1		0		0	0	0	0	0	0	0	0	0	-1	0	Boulders are hurled at the target. This also lowers the target's Speed stat by preventing its movement.
318	Silver Wind	Bug	Special	5	60	1			1		0		1	0	1	0	0	0	0	0	0	0	0	The target is attacked with powdery scales blown by wind. This may also raise all the user's stats.
319	Metal Sound	Steel	Status	40	0	0.85			1		0		0	0	0	0	0	0	0	-2	0	0	0	A horrible sound like scraping metal harshly lowers the target's Sp. Def stat.
320	Grass Whistle	Grass	Status	15	0	0.55	1	Sleep	1		0		0	0	0	0	0	0	0	0	0	0	0	The user plays a pleasant melody that lulls the target into a deep sleep.
321	Tickle	Normal	Status	20	0	1			1		0		0	-1	0	-1	0	0	0	0	0	0	0	The user tickles the target into laughing, reducing its Attack and Defense stats.
322	Cosmic Power	Psychic	Status	20	0	1			1		0		0	0	1	0	0	0	1	0	0	0	0	The user absorbs a mystical power from the space to raise its Defense and Sp. Def stats.
323	Water Spout	Water	Special	5	150	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user spouts water to damage opposing Pokémon. The lower the user's HP, the lower the move's power.
324	Signal Beam	Bug	Special	15	75	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user attacks with a sinister beam of light. This may also confuse the target.
325	Shadow Punch	Ghost	Physical	20	60	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user throws a punch from the shadows. This attack never misses.
326	Extrasensory	Psychic	Special	20	80	1			1		0		0	0	0	0	0	0	0	0	0	0	1	The user attacks with an odd, unseeable power. This may also make the target flinch.
327	Sky Uppercut	Fighting	Physical	15	85	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	The user attacks the target with an uppercut thrown skyward with force.
328	Sand Tomb	Ground	Physical	15	35	0.85			1		0		0	0	0	0	0	0	0	0	0	0	0	The user traps the target inside a harshly raging sandstorm for four to five turns.
329	Sheer Cold	Ice	Special	5	0	0.3			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is attacked with a blast of absolute-zero cold. The target faints instantly if this attack hits.
330	Muddy Water	Water	Special	10	90	0.85			1		0		0	0	0	0	0	0	0	0	0	0	0	The user attacks by shooting muddy water at the opposing Pokémon. This may also lower their accuracy.
331	Bullet Seed	Grass	Physical	30	25	1			2,5		0		0	0	0	0	0	0	0	0	0	0	0	The user forcefully shoots seeds at the target two to five times in a row.
332	Aerial Ace	Flying	Physical	20	60	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user confounds the target with speed, then slashes. This attack never misses.
333	Icicle Spear	Ice	Physical	30	25	1			2,5		0		0	0	0	0	0	0	0	0	0	0	0	The user launches sharp icicles at the target two to five times in a row.
334	Iron Defense	Steel	Status	15	0	1			1		0		0	0	2	0	0	0	0	0	0	0	0	The user hardens its body's surface like iron, sharply raising its Defense stat.
335	Block	Normal	Status	5	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user blocks the target's way with arms spread wide to prevent escape.
336	Howl	Normal	Status	40	0	1			1		0		1	0	0	0	0	0	0	0	0	0	0	The user howls loudly to raise its spirit, which raises its Attack stat.
337	Dragon Claw	Dragon	Physical	15	80	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user slashes the target with huge, sharp claws.
338	Frenzy Plant	Grass	Special	5	150	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	The user slams the target with an enormous tree. The user can't move on the next turn.
339	Bulk Up	Fighting	Status	20	0	1			1		0		1	0	1	0	0	0	0	0	0	0	0	The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats.
340	Bounce	Flying	Physical	5	85	0.85	0.3	Paralysis	1		0		0	0	0	0	0	0	0	0	0	0	0	The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis.
341	Mud Shot	Ground	Special	15	55	0.95			1		0		0	0	0	0	0	0	0	0	0	-1	0	The user attacks by hurling a blob of mud at the target. This also lowers the target's Speed stat.
342	Poison Tail	Poison	Physical	25	50	1	0.1	Poison	1		1		0	0	0	0	0	0	0	0	0	0	0	The user hits the target with its tail. This may also poison the target. Critical hits land more easily.
343	Covet	Normal	Physical	25	60	0.7	1	Confusion	1		0		0	0	0	0	0	0	0	0	0	0	0	The user endearingly approaches the target, causing confusion.
344	Volt Tackle	Electric	Physical	15	120	1	0.1	Paralysis	1		0		0	0	0	0	0	0	0	0	0	0	0	The user electrifies itself, then charges. This also damages the user quite a lot. This may leave the target with paralysis.
345	Magical Leaf	Grass	Special	20	60	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user scatters curious leaves that chase the target. This attack never misses.
346	Water Sport	Water	Status	15	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user soaks itself with water. This weakens Fire-type moves for five turns.
347	Calm Mind	Psychic	Status	20	0	1			1		0		0	0	0	0	1	0	1	0	0	0	0	The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.
348	Leaf Blade	Grass	Physical	15	90	1			1		1		0	0	0	0	0	0	0	0	0	0	0	The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.
349	Dragon Dance	Dragon	Status	20	0	1			1		0		1	0	0	0	0	0	0	0	1	0	0	The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats.
350	Rock Blast	Rock	Physical	10	25	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	The user hurls hard rocks at the target. Two to five rocks are launched in a row.
351	Shock Wave	Electric	Special	20	60	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user strikes the target with a quick jolt of electricity. This attack never misses.
352	Water Pulse	Water	Special	20	60	1	0.2	Confusion	1		0		0	0	0	0	0	0	0	0	0	0	0	The user attacks the target with a pulsing blast of water. This may also confuse the target.
353	Doom Desire	Steel	Special	5	140	1			1		0		0	0	0	0	0	0	0	0	0	0	0	Two turns after this move is used, the user blasts the target with a concentrated bundle of light.
